K,Istar,N,L,Y,W,R,sL,G,a,I,regime,cost_gap,new_task_margin,epsilonL,LambdaI,productivity,displacement,wage_derivative_formula,wage_derivative_numeric,labor_share_derivative,employment_derivative
0.5,0.15109428215023385,1.0,0.8894260352522985,12.096534416709181,10.758972646546566,5.054448064606683,0.7910786721846187,0.49188719301938627,0.1510942821502339,0.4,cost-minimizing,-3.2018832030189515e-13,4.981954677149642,0.11664553381150772,8.366278056223926,-4.4297898682543756e-13,1.906837327959331,0.0,-5.8175686490358194e-09,-5.1014747981525935e-09,-2.8421709430404003e-09
0.5106254121629646,0.15291357827424273,1.0,0.8881817097874105,12.136646521854498,10.779547458866745,5.018257156942857,0.788866749600931,0.49032444489608945,0.1529135782742428,0.4,cost-minimizing,6.173950239940496e-13,4.945625137490887,0.11802625905264866,8.289919201733364,8.515410598874953e-13,1.9065659280964453,0.0,2.1538326677728037e-09,1.6764367671839862e-09,0.0
0.5214766230931951,0.15474487726585873,1.0,0.8869307861340663,12.177406727815269,10.800516922175511,4.982190281061832,0.7866462193923962,0.48875425516718957,0.15474487726585873,0.4,cost-minimizing,-4.740652315149418e-13,4.909416970477487,0.11941579608309992,8.214937418634483,-6.539213615042173e-13,1.9063061165441653,0.0,3.5305092183079974e-09,3.308464613382966e-09,2.8421709430404003e-09
0.5325584312006274,0.15658811970162329,1.0,0.8856733207618821,12.218823771437656,10.82188622545403,4.9462513536663195,0.7844172311094245,0.4871767259172645,0.15658811970162323,0.4,cost-minimizing,1.559863349598345e-13,4.873334057849077,0.12081410397306093,8.141305760037142,2.1427304375265526e-13,1.906058161534139,0.0,-3.108624468950438e-09,-2.4424906541753444e-09,0.0
0.5438757368653645,0.1584432450982438,1.0,0.8844093702957132,12.26090649571349,10.843660593128845,4.910444202266532,0.7821799342668786,0.4855919599304725,0.1584432450982438,0.4,cost-minimizing,1.1546319456101628e-13,4.837380191913959,0.12222114139261944,8.06899786935465,1.587618925213974e-13,1.9058223319942125,0.0,1.9984014443252818e-09,1.5876189252139736e-09,0.0
0.5554335446046257,0.16031019194388063,1.0,0.8831389914841077,12.303663851743767,10.865845285588943,4.874772564436601,0.7799344782796013,0.4840000606483948,0.16031019194388063,0.4,cost-minimizing,-5.184741524999481e-14,4.801559074802039,0.12363686664078975,7.997987967495822,-7.105427357601003e-14,1.9055988975209994,0.0,-1.021405182655144e-09,-1.3655743202889423e-09,-2.8421709430404003e-09
0.5672369652857469,0.16218889773006995,1.0,0.8818622411680397,12.347104900749617,10.888445599712282,4.839240087197537,0.777681012397942,0.4824011321276112,0.16218889773006995,0.4,cost-minimizing,4.9649173661237e-13,4.765874317844251,0.12506123767512622,7.92825084029534,6.805667140952211e-13,1.905388128357224,0.0,-1.398881011027697e-09,-1.0880185641326534e-09,0.0
0.5792912183862075,0.16407929898355605,1.0,0.8805791762496467,12.391238816128132,10.91146686941927,4.803850326493846,0.7754196856445428,0.480795278997642,0.164079298983556,0.4,cost-minimizing,-1.3367085216486885e-13,4.730329441045422,0.12649421214112894,7.859761826207617,-1.8318679906315088e-13,1.9051902953710536,0.0,1.7097434579227409e-09,1.8984813721090177e-09,2.8421709430404003e-09
0.5916016343016863,0.1659813312972146,1.0,0.8792898536624452,12.436074885569278,10.934914466267053,4.7686067467409075,0.7731506467536983,0.4791826064199564,0.1659813312972146,0.4,cost-minimizing,-3.489430966396867e-13,4.694927872627667,0.12793574740060568,7.792496804287251,-4.773959005888174e-13,1.9050056700351257,0.0,4.1522341120980855e-09,3.2474023470285825e-09,0.0
0.6041736567031641,0.1678949293616115,1.0,0.8779943303408599,12.481622513211045,10.95879380005475,4.733512720488377,0.7708740441107386,0.4775632200467395,0.16789492936161143,0.4,cost-minimizing,1.192379528447418e-13,4.6596729486897015,0.12938580056060353,7.726432182393443,1.6209256159527288e-13,1.9048345244101998,0.0,2.2648549702353193e-09,1.7763568394002503e-09,0.0
0.6170128449441175,0.16982002699592613,1.0,0.8766926631912919,12.527891221857184,10.983110319461508,4.698571528162077,0.7685900256934908,0.4759372259805062,0.16982002699592613,0.4,cost-minimizing,-8.781864124784988e-14,4.624567912944436,0.13084432850160957,7.661544885660136,-1.1990408665951693e-13,1.90467713112968,0.0,7.771561172376095e-10,6.272760089132134e-10,0.0
0.6301248765188667,0.17175655717832844,1.0,0.8753849090632999,12.574890655242852,11.007869512720047,4.663786357880365,0.7662987390157161,0.4743047307344856,0.17175655717832838,0.4,cost-minimizing,4.695133171139787e-13,4.589615916530809,0.13231128790507757,7.5978123452212705,6.383782391594651e-13,1.9045337633849964,0.0,-8.215650382226157e-10,-1.2156942119645464e-09,-2.8421709430404003e-09
0.643515549573167,0.17370445207681057,1.0,0.8740711247208914,12.622630580348256,11.033076908300782,4.629160305378131,0.7640003310708069,0.4726658411929387,0.1737044520768105,0.4,cost-minimizing,3.204103649068202e-13,4.554820017933167,0.13378663528137402,7.53521248715244,4.3520742565306146e-13,1.904404694915394,0.0,6.572520305780926e-09,5.578870698741411e-09,2.8421709430404003e-09
0.6571907854681504,0.17566364307883636,1.0,0.8727513668155826,12.671120889779212,11.058738075639694,4.59469637398847,0.7616949482784267,0.47102066457279174,0.1756636430788363,0.4,cost-minimizing,4.911626660941693e-13,4.520183182958042,0.1352703269964253,7.4737237216786,6.66133814775094e-13,1.9042901999970923,0.0,5.639932965095794e-09,4.29101199017623e-09,0.0
0.6711566313987535,0.17763406082144612,1.0,0.8714256918587129,12.720371604187392,11.084858625878715,4.560397474723807,0.7593827364314222,0.4693693083852107,0.17763406082144617,0.4,cost-minimizing,5.323519403077626e-13,4.485708284810281,0.13676231929876997,7.413324932588444,7.21644966006352e-13,1.9041905534366697,0.0,3.0642155479654316e-09,2.975397705995419e-09,2.8421709430404003e-09
